Platform,Year,Genre,north_america_sales,europe_sales,japan_sales,Other_Sales,Global_Sales
GB,1990,Racing,1.73,0.69,0.59,0.4,3.41
PS2,2002,Sports,0.46,2.28,0.05,0.61,3.4
PS,2000,Misc,1.56,1.47,0.19,0.17,3.39
X360,2008,Action,2.03,1.03,0.0,0.32,3.38
PS4,2015,Action,1.08,1.35,0.48,0.47,3.38
DS,2009,Action,1.43,0.94,0.74,0.27,3.38
PS,1998,Fighting,2.47,0.76,0.0,0.13,3.36
N64,2000,Action,1.9,0.67,0.73,0.06,3.36
DS,2008,Puzzle,0.65,1.61,0.82,0.28,3.36
PS,1998,Adventure,1.63,1.53,0.0,0.18,3.34
X360,2013,Action,1.9,1.14,0.01,0.29,3.34
DS,2006,Misc,0.0,0.99,2.32,0.02,3.33
PS2,2002,Shooter,1.45,1.29,0.12,0.46,3.33
PS2,2002,Platform,1.44,1.01,0.57,0.3,3.33
Wii,2012,Misc,1.15,1.17,0.76,0.24,3.32
PS2,2005,Action,1.47,1.39,0.03,0.43,3.32
PS2,2001,Shooter,1.99,1.05,0.05,0.22,3.31
PS2,2003,Action,1.5,1.28,0.05,0.46,3.28
PS4,2015,Action,0.8,1.92,0.06,0.5,3.28
XOne,2014,Shooter,2.13,0.92,0.0,0.23,3.28
PS2,2003,Action,1.89,1.05,0.02,0.31,3.27
Wii,2008,Misc,1.36,1.13,0.46,0.32,3.27
PSP,2009,Racing,0.5,1.59,0.31,0.87,3.27
3DS,2015,Action,0.25,0.19,2.78,0.04,3.26
PS,1995,Fighting,0.95,1.3,0.77,0.22,3.24
XOne,2015,Sports,0.88,2.11,0.0,0.23,3.23
PS3,2011,Adventure,1.27,1.33,0.12,0.51,3.23
PS4,2015,Sports,2.33,0.3,0.0,0.59,3.22
3DS,2014,Role-Playing,0.03,0.0,3.18,0.0,3.22
PS,1999,Shooter,1.72,1.33,0.0,0.16,3.21
NES,1983,Sports,0.73,0.1,2.35,0.02,3.2
SNES,1995,Fighting,2.26,0.72,0.12,0.1,3.2
PS,2000,Fighting,1.76,1.21,0.07,0.16,3.2
PSP,2007,Role-Playing,1.35,0.6,0.8,0.44,3.19
PSP,2008,Action,1.48,1.01,0.04,0.66,3.19
SNES,1995,Role-Playing,0.0,0.0,3.19,0.0,3.19
X360,2010,Misc,2.15,0.77,0.01,0.26,3.19
PS2,2003,Action,1.78,1.12,0.09,0.19,3.18
WiiU,2015,Platform,1.18,0.87,0.93,0.2,3.18
PS3,2010,Role-Playing,1.52,1.08,0.1,0.47,3.17
DS,2008,Misc,0.58,0.51,1.93,0.14,3.17
PS2,2001,Simulation,2.06,0.56,0.38,0.17,3.17
DS,2008,Adventure,1.88,0.98,0.0,0.3,3.16
GC,2001,Simulation,1.92,0.16,0.99,0.09,3.15
DS,2008,Action,1.79,1.06,0.0,0.29,3.15
DS,2005,Platform,1.22,1.57,0.06,0.29,3.15
PS3,2012,Shooter,0.88,0.97,0.88,0.42,3.15
XOne,2014,Shooter,1.89,0.99,0.03,0.24,3.15
PS2,2007,Sports,0.68,0.0,0.0,2.46,3.14
PS,2000,Action,1.7,1.25,0.02,0.16,3.13
PS,1998,Racing,2.14,0.86,0.0,0.13,3.12
N64,1999,Racing,2.31,0.62,0.14,0.04,3.12
DS,2006,Misc,0.91,1.0,1.03,0.17,3.12
PS3,2007,Role-Playing,1.69,0.87,0.14,0.42,3.12
NES,1990,Role-Playing,0.08,0.0,3.03,0.01,3.12
PS3,2010,Adventure,1.29,1.27,0.06,0.5,3.12
X360,2010,Role-Playing,1.99,0.82,0.03,0.27,3.11
X360,2014,Sports,0.78,2.02,0.0,0.3,3.11
PS2,2002,Fighting,2.17,0.28,0.55,0.08,3.09
